product_name,sku,brand,price,quantity,width,height,length,weight,weight_based_shipping - bay of plenty_delivery,weight_based_shipping - waikato_delivery,weight_based_shipping - hawke's bay_delivery,weight_based_shipping - taranaki_delivery,"weight_based_shipping - thames, coromandel_delivery",weight_based_shipping - auckland (from silverdale to pokeno)_delivery,weight_based_shipping - waiheke_delivery,weight_based_shipping - northland (others)_delivery,"weight_based_shipping -  northland (mangawhai, whangarei)_delivery",weight_based_shipping - northland (warkworth)_delivery,weight_based_shipping -  gisborne_delivery,weight_based_shipping -  manawatu- wanganui_delivery,weight_based_shipping -  wellington_delivery,"weight_based_shipping -  cantebury zone 1 (kaikoura, cheviot, amberley, woodend, rangiora, kaiapoi)_delivery","weight_based_shipping -  cantebury zone 2 (hanmer springs, temuka, ashburton,timaru, waimate, temuka)_delivery","weight_based_shipping -  christchurch (cantebury) incl. prebbleton, lincoln, rolleston_delivery","weight_based_shipping -  southland (invercargill, gore, winton, te anau)_delivery",weight_based_shipping -  west coast (springs junction)_delivery,weight_based_shipping -  west coast (others)_delivery,"weight_based_shipping -  otago (oamaru, lake hayes , waimate, palmerston, dunedin, mosgiel, milton , alexandra, cromwell, arrowtown, queenstown, wanaka)_delivery","weight_based_shipping -  tasman, nelson (richmond, tasman, wakefield, murchison, nelson)_delivery","weight_based_shipping -  marlborough (picton, blenheim, seddon, ward)_delivery"
3D Different Size Red and Brown Tiles Pattern Wallpaper by IDIYA Ltd.,100.000.92,Idiya,29.58,10,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Faded Black and Faded Grey Stripes Pattern Wallpaper by IDIYA Ltd.,100.000.69,Idiya,29.58,17,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Faded Black and Faded Grey Stripes Pattern Wallpaper(3)+1 Glue+1 Primer Combo,PR52,Idiya,92.11,4,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Faded Grey Stripes Pattern Wallpaper by IDIYA Ltd.,100.000.97,Idiya,29.58,27,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Faded Red and Beige Tiles Pattern Wallpaper by IDIYA Ltd.,100.001.05,Idiya,35,10,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Light Brown Bamboo Sticks Pattern Wallpaper by IDIYA Ltd.,100.000.71,Idiya,29.58,16,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Light Brown Pattern Wallpaper by IDIYA Ltd.,100.000.82,Idiya,29.58,10,53,0.5,1000,1.5,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Light Brrown Brick Pattern Wallpaper by IDIYA Ltd.,100.000.74,Idiya,29.58,9,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Light and Dark Brown Stripes Pattern Wallpaper(3)+1 Glue+1 Primer,PR53,Idiya,92.11,1,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
"3D Ships,Trains,Hot Air Balloon, Beige Background Wallpaper by IDIYA Ltd",100.001.07,Idiya,29.58,22,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
"3D Small Rocks, Yellow Effect Pattern Wallpapers by IDIYA Ltd.",100.000.78,Idiya,29.58,8,53,0.5,1000,1.5,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Small and Big Light Grey Pebbels Pattern Wallpaper(3)+1 Glue+ 1 Primer,PR50,Idiya,92.11,4,53,0.5,1000,7,40,40,40,40,40,8,15,40,40,40,40,40,40,28,28,28,35,28,35,35,25,25
3D Tree Barks on Dark Grey Background Pattern Wallpaper by IDIYA Ltd.,100.000.85,Idiya,29.58,5,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Tree Barks on Light Grey Background Pattern Wallpaper by IDIYA Ltd.,100.000.87,Idiya,29.58,23,53,0.5,1000,2,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
3D Tree Stems Light Color Pattern Wallpaper by IDIYA Ltd.,100.000.76,Idiya,29.58,1,53,0.5,1000,1.5,22,22,22,22,22,6,15,22,22,22,22,22,22,20,20,20,18,20,20,20,20,20
